BGC	Genus	Name	Compound_count	MW	TPSA	LOGP	HACC	HDON	Type	Activities	Structure	Antibacterial	Antifungal	Siderophore	Orf_length
BGC0000488	Clostridium	circularin A	1	6771	NA	NA	NA	NA	RiPP	Antibacterial	NA	1	1	0	0	12
BGC0001277	Fusarium	nivalenol	12	312.12090298	119.75	-1.8669	7	4	Terpene	NA	CC1=C[C@@H]2[C@]([C@@H](C1=O)O)([C@]3([C@@H]([C@H]([C@H]([C@@]34CO4)O2)O)O)C)CO	2	0	0	0	22
BGC0001369	uncultured	metatricycloene	1	365.162708216	89.62	2.7091	3	2	Polyketide	NA	NC(=O)\C=C\C=C\C1C=CC2C=CC3OC(\C=C\C=C\C=C\C(O)=O)C1C23	3	0	0	0	31
BGC0000170	Aspergillus	yanuthone D	1	502.256668176	130.5	4.1705	7	2	Polyketide	NA	CC(C)=CCC\C(C)=C\CC\C(C)=C\CC12O[C@@H]1C(=O)C(COC(=O)CC(C)(O)CC(O)=O)=CC2=O	2	0	0	0	10
BGC0001771	Streptomyces	scleric acid	1	-1	NA	NA	NA	NA	NRP	NA	NA	1	0	0	0	17
BGC0001927	Streptomyces	A-94964	1	-1	NA	NA	NA	NA	Other	NA	NA	1	0	0	0	22
BGC0000197	Streptomyces	aranciamycin	1	544.158076336	189.28	0.3748	12	5	Polyketide	Antibacterial,Cytotoxic	CO[C@@H]1[C@H](O)[C@@H](O)[C@H](C)O[C@H]1O[C@H]1[C@H](OC)[C@](C)(O)C(=O)C2=CC3=C(C(O)=C12)C(=O)C1=C(C=CC=C1O)C3=O	1	1	0	0	23
BGC0001217	Streptomyces	PreQ0 Base	1	-1	NA	NA	NA	NA	Other	NA	NA	1	0	0	0	3
BGC0000863	Pseudoalteromonas	eicosapentaenoic acid	1	302.2245802	37.3	5.9927	1	1	Other	NA	CC/C=C\C/C=C\C/C=C\C/C=C\C/C=C\CCCC(=O)O	0	0	0	0	4
BGC0001125	Cylindrospermum	puwainaphycin A	4	1234.71728968	446.59	-2.2764	17	13	NRP	NA	CCCCC(=O)CCCCCCCCC[C@H](C)[C@@H]1[C@H](C(=O)N[C@H](C(=O)N/C(=C/C)/C(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)NCC(=O)N[C@H](C(=O)N([C@H](C(=O)N2CCC[C@H]2C(=O)N1)CC(=O)N)C)[C@H](C)OC)CCC(=O)N)[C@H](C)O)[C@H](C)O)C(C)C)O	0	0	0	0	10
BGC0000918	Streptomyces	ochronotic pigment	1	-1	NA	NA	NA	NA	Other	NA	NA	1	0	0	0	4
BGC0001170	Clostridium	clostridiolysin S	1	-1	NA	NA	NA	NA	RiPP	Cytotoxic	NA	1	0	0	0	9
BGC0000416	Xenorhabdus	rhabdopeptide 1	4	573.42540524	110.85	3.0862	5	3	NRP	NA	 CC(C)C[C@H](NC)C(=O)N(C)[C@@H](C(C)C)C(=O)N[C@@H](C(C)C)C(=O)N(C)[C@@H](C(C)C)C(=O)NCCc1ccccc1	0	0	0	0	3
BGC0000301	Planktothrix	anabaenopeptin 908	2	908.511988376	317.5	1.33107	10	12	NRP	NA	CC[C@@H]([C@H]1C(NCCCC[C@@H](NC(N[C@H](C(O)=O)CCCNC(N)=N)=O)C(N[C@@H](C(C)C)C(N[C@@H](CCC2=CC=C(O)C=C2)C(N(C)[C@@H](CCC3=CC=C(O)C=C3)C(N1)=O)=O)=O)=O)=O)C	0	0	0	0	5
BGC0000672	Oryza	phytocassane	2	316.203844756	54.37	3.3262	3	1	Terpene	NA	C[C@@H]1[C@@H]2CC[C@@H]3[C@@]([C@H]2C(=O)C=C1C=C)(C[C@@H](C(=O)C3(C)C)O)C	3	0	0	0	11
BGC0000786	Edwardsiella	O-antigen	1	-1	NA	NA	NA	NA	Saccharide	NA	NA	0	0	0	0	10
BGC0000568	Escherichia	microcin B17	1	-1	NA	NA	NA	NA	RiPP	NA	NA	0	0	0	0	7
BGC0001721	Burkholderia	ornibactin	1	-1	NA	NA	NA	NA	NRP	NA	NA	0	0	0	0	15
BGC0000303	Streptomyces	anthramycin	1	315.121906024	115.89	0.58442	5	4	NRP	NA	CC1=C(O)C2=C(C=C1)C(=O)N1C=C(CC1C(O)N2)\C=C\C(N)=O	1	0	0	0	25
BGC0001433	Streptomyces	argimycin PI	7	330.103813436	79.29	2.7181	4	2	Polyketide	NA	O=C(O)[C@@H](NC(C)=O)CS/C(C)=C([H])/C([H])=C1C=CC2=C\1C=CC=N2	1	0	0	0	37
BGC0000188	Cylindrospermopsis	saxitoxin	5	299.134202024	184.81	-3.852	10	6	Alkaloid	Neurotoxic	C1CN2C(=N[C@H]([C@H]3[C@]2(C1(O)O)N=C(N3)N)COC(=O)N)N	0	0	0	0	34
BGC0000534	Streptococcus	mutacin K8	1	-1	NA	NA	NA	NA	RiPP	NA	NA	1	0	0	0	7
BGC0000400	Paenibacillus	paenibacterin	1	1604.10043618	540.35	0.6121	21	18	NRP	NA	CCCCCCCCCCCCCCC(=O)N[C@@H](CCCN)C(=O)N[C@@H](C(C)C)C(=O)N[C@H]1[C@H](OC(=O)[C@@H](NC(=O)[C@@H](NC(=O)[C@@H](NC(=O)[C@@H]2CCCN2C(=O)[C@@H](NC(=O)[C@@H](NC(=O)[C@@H](NC(=O)[C@@H](NC(=O)[C@@H](NC(=O)[C@@H](NC1=O)CCCN)CO)C(C)C)CCCCN)CO)[C@@H](C)CC)C(C)C)CCCCN)[C@@H](C)CC)C	1	0	0	0	5
BGC0000459	Streptomyces	griseoviridin	2	477.156971204	150.99	0.6221	9	4	NRP	Antibacterial	[H][C@@]12CS\C(=C/C[C@@H](C)OC1=O)C(=O)NC\C=C\C=C\[C@@H](O)C[C@H](O)CC1=NC(=CO1)C(=O)N2	1	1	0	0	36
BGC0001772	Anabaena	scytophycin	1	849.52384146	172.05	4.9958	13	2	Polyketide	NA	C[C@H]1[C@@H](C[C@@H]([C@]2(CO2)[C@H](C[C@@H]3CC=C[C@H](O3)C[C@H]([C@H](/C=C(/C=C/C(=O)O[C@@H]1[C@@H](C)[C@H]([C@@H](C)CCC(=O)[C@H](C)[C@@H]([C@H](C)/C=C/N(C)C=O)OC)O)\C)O)OC)OC)OC)OC	0	0	0	0	18
BGC0002011	Amycolatopsis	ansacarbamitocin A	1	-1	NA	NA	NA	NA	Polyketide	NA	NA	1	0	0	0	75
BGC0001923	Acremonium	ascochlorin	1	-1	NA	NA	NA	NA	Terpene	NA	NA	2	0	0	0	8
BGC0000461	Lysobacter	WAP-8294A2	1	1561.81404357	609.92	-5.0208	22	19	NRP	NA	CC(C)CCCC1CC(=O)NC(CO)C(=O)NC(C(O)C(N)=O)C(=O)NC(CO)C(=O)NCC(=O)N(C)C(CC2=CC=CC=C2)C(=O)NC(CC(C)C)C(=O)NC(CCCN)C(=O)NC(CCC(O)=O)C(=O)NC(CC(N)=O)C(=O)NC(CC2=CNC3=C2C=CC=C3)C(=O)NC(CCCN)C(=O)N(C)C(C(C)C)C(=O)O1	0	0	0	0	10
BGC0000259	Serratia	prodigiosin	1	323.19976242	53.17	2.97012	2	2	Polyketide	NA	CCCCCC1=C(NC(=C1)/C=C\2/C(=C/C(=C/3\C=CC=N3)/N2)OC)C	0	0	0	0	16
BGC0000643	Brevundimonas	carotenoid	1	738.6737406	99.38	11.5564	6	4	Terpene	NA	C[C@H](CCCCC(C)CCC[C@@H](C)CCCC(C)CCC=C(C)C)CCC[C@H](C)CCC[C@H](C)CCCC(C)(C)O[C@@H]1[C@@H]([C@H]([C@@H]([C@H](O1)CO)O)O)O	0	0	0	0	10
BGC0001803	Streptomyces	thioviridamide	1	1345.5238586	330.19	0.8849	18	14	RiPP	NA	CCC(C)C1NC(=O)C(CS\C=C/NC(=O)C(NC(=O)C(CC(C)C)NC(=O)C(C)NC1=O)C(O)C1=CN(C)C=[N+]1C)NC(=O)C(C)NC(=S)C(C)NC(=S)C(C)NC(=S)C(C)NC(=S)C(CCSC)NC(=S)C(NC(=O)C(C)(O)CC(C)=O)C(C)C	1	0	0	0	19
BGC0000451	Teredinibacter	turnerbactin	1	-1	NA	NA	NA	NA	NRP	NA	NA	0	0	0	0	13
BGC0001165	Lyngbya	curacin A	1	373.24393574	21.59	6.3665	3	0	NRP	anti-tubulin	C[C@H]1CC1C2=N[C@@H](CS2)/C=C\CC/C=C/C=C(\C)/CC[C@H](CC=C)OC	0	0	0	0	14
BGC0001915	Phoma	betaestacin I	2	-1	NA	NA	NA	NA	Terpene	NA	NA	2	0	0	0	4
BGC0001418	Hyalangium	myxochromide D	1	736.415962752	206.1	2.3527	8	5	NRP	NA	C1(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](C)C(=O)N[C@@H](CCC(=O)N)C(=O)O[C@H](C)[C@H](N(C)C(=O)/C=C/C=C/C=C/C=C/C=C/C=C/C=C/CC)C(=O)N[C@@H]1C	0	0	0	0	20
BGC0001117	Streptomyces	himastatin	1	1484.75513173	477.94	-2.396	24	16	NRP	NA	[H][C@@]12NC3=CC=C(C=C3[C@]1(O)C[C@@H]1N2C(=O)[C@H](NC(=O)[C@H](CC(C)C)NC(=O)[C@H]2C[C@@H](O)CNN2C(=O)[C@@H](OC(=O)[C@H](NC1=O)C(C)C)C(C)C)[C@H](C)O)C1=CC=C2N[C@@]3([H])N4[C@@H](C[C@@]3(O)C2=C1)C(=O)N[C@H](C(C)C)C(=O)O[C@@H](C(C)C)C(=O)N1NC[C@H](O)C[C@@H]1C(=O)N[C@@H](CC(C)C)C(=O)N[C@H]([C@H](C)O)C4=O	1	0	0	0	25
BGC0000352	Acinetobacter	fimsbactin A	1	574.19110778	227.55	0.1303	12	7	NRP	Siderophore	CC(=O)N(O)CCCCNC(=O)[C@H](COC(=O)C1=C(O)C(O)=CC=C1)NC(=O)[C@@H]1COC(=N1)C1=C(O)C(O)=CC=C1	0	0	0	1	17
BGC0000335	Cystobacter	cystomanamide A	4	608.316976988	277.26	-1.6955	9	9	NRP	NA	CC(C)CCCCC[C@@H](N)CC(=O)N[C@H](CC(N)=O)C(=O)N[C@@H]([C@@H](O)C(N)=O)C(=O)N[C@H]([C@@H](O)C1=CC=CC=C1)C(O)=O	0	0	0	0	10
BGC0000766	Lactobacillus	exopolysaccharide	1	-1	NA	NA	NA	NA	Saccharide	NA	NA	1	0	0	0	29
BGC0000871	Myxococcus	VEPE	3	646.481713758	120.14	9.3929	8	1	Other	NA	NCCOP([O-])(OCC(OC(CCCCCCCCCCCC(C)C)=O)CO/C=C\CCCCCCCCCCC(C)C)=O	0	0	0	0	5
BGC0000716	Streptomyces	spectinomycin	1	332.158351108	129.51	-2.9256	9	5	Saccharide	NA	C[C@@H]1CC(=O)[C@]2([C@@H](O1)O[C@@H]3[C@H]([C@@H]([C@@H]([C@@H]([C@H]3O2)NC)O)NC)O)O	1	0	0	0	22
BGC0001808	Streptomyces	toyocamycin	1	291.096753896	150.44	-1.50332	9	4	Other	NA	NC1=NC=NC2=C1C(=CN2[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O)C#N	1	0	0	0	10
BGC0001394	Myxococcus	phenalamide A2	1	491.3399443	69.56	6.2568	3	3	NRP	NA	C[C@@H](CO)NC(=O)C(\C)=C\C=C\C=C\C=C\C(\C)=C\[C@@H](C)[C@@H](O)C(\C)=C\[C@@H](C)CCC1=CC=CC=C1	0	0	0	0	12
BGC0000412	Pseudomonas	pyochelin	1	324.060234372	73.13	1.7121	6	2	NRP	NA	[H][C@@]1(CSC(=N1)C1=CC=CC=C1O)[C@@]1([H])SC[C@H](N1C)C(O)=O	0	0	0	0	5
BGC0001662	Kitasatospora	mediomycin A	1	1175.64263626	366.52	5.7471	17	14	Polyketide	NA	CC(\C=C\CC\C=C\C=C\C=C(/C)C(O)=O)[C@@H](O)[C@H](C)[C@@H](O)\C=C\C=C\C=C\C=C\C=C\C=C\CC(OS(O)(=O)=O)C(C)C(=O)C[C@H](O)C[C@H](O)\C=C\C[C@H](O)C[C@H](O)C[C@@H](O)\C=C\C[C@H](O)C[C@@H](O)\C=C\C[C@H](O)C[C@H](O)CCCN	1	0	0	0	32
BGC0001996	Aspergillus	oryzine A	2	-1	NA	NA	NA	NA	Other	NA	NA	2	0	0	0	16
BGC0000403	Paenibacillus	pelgipeptin	1	-1	NA	NA	NA	NA	NRP	NA	NA	1	0	0	0	8
BGC0000513	Saccharopolyspora	Ery-9	7	2860.312	NA	NA	NA	NA	RiPP	NA	NA	1	0	0	0	4
BGC0000993	Chromobacterium	FR901228	1	540.207626872	142.7	1.4296	8	4	NRP	NA	C\C=C1/NC(=O)[C@H]2CSSCC\C=C\[C@H](CC(=O)N[C@H](C(C)C)C(=O)N2)OC(=O)[C@@H](NC1=O)C(C)C	0	0	0	0	21
BGC0001079	Streptomyces	napyradiomycin A80915C	1	546.134271816	104.06	5.49262	6	3	Polyketide	Antibacterial	O=C1C2(Cl)C(OC(C)(C)C(Cl)C2)(CC3C(C)(C)C(Cl)CCC3(O)C)C(C4=CC(O)=C(C)C(O)=C41)=O	1	1	0	0	31
BGC0001551	Streptomyces	citrulassin E	1	-1	NA	NA	NA	NA	RiPP	NA	NA	1	0	0	0	3
BGC0002007	Amycolatopsis	atolypene A	2	-1	NA	NA	NA	NA	Terpene	NA	NA	1	0	0	0	17
BGC0001333	uncultured	BE-54017	1	451.093498356	96.93	2.3069	7	2	Alkaloid	Cytotoxic	COC1=C2N(C3=CC=CC=C13)[C@]1(O)C(=O)N(C)C(=O)[C@]1(O)C1=C2N(C)C2=CC=C(Cl)C=C12	3	0	0	0	14
BGC0001552	Streptomyces	citrulassin F	1	-1	NA	NA	NA	NA	RiPP	NA	NA	1	0	0	0	4
BGC0001457	Streptomyces	jomthonic acid A	3	387.204573028	92.7	3.4497	4	2	NRP	NA	C\C=C(/C)\C=C\C(=O)N[C@@H]([C@H](C)C1=CC=CC=C1)C(=O)O[C@H](C)[C@@H](C)C(O)=O	1	0	0	0	37
BGC0002036	Streptomyces	dehydrofosmidomycin	1	-1	NA	NA	NA	NA	Other	NA	NA	1	0	0	0	13
BGC0001261	Alternaria	AM-toxin	1	431.205635648	122.83	0.8286	6	3	NRP	NA	CC1C(=O)OC(C(=O)NC(C(=O)NC(=C)C(=O)N1)CCC2=CC=C(C=C2)OC)C(C)C	2	0	0	0	1
BGC0000625	Streptomyces	thioviridamide	1	1345.5238586	330.19	0.8849	18	14	RiPP	NA	CCC(C)C1NC(=O)C(CS\C=C/NC(=O)C(NC(=O)C(CC(C)C)NC(=O)C(C)NC1=O)C(O)C1=CN(C)C=[N+]1C)NC(=O)C(C)NC(=S)C(C)NC(=S)C(C)NC(=S)C(C)NC(=S)C(CCSC)NC(=S)C(NC(=O)C(C)(O)CC(C)=O)C(C)C	1	0	0	0	19
BGC0001193	Saccharothrix	thiolutin	1	228.002719496	51.1	1.5715	5	1	NRP	NA	CN1C(=O)C(NC(C)=O)=C2SSC=C12	1	0	0	0	25
BGC0000589	Escherichia	microcin M	1	-1	NA	NA	NA	NA	RiPP	NA	NA	0	0	0	0	11
BGC0000487	Carnobacterium	carnocyclin	1	-1	NA	NA	NA	NA	RiPP	NA	NA	1	0	0	0	15
BGC0000271	Streptomyces	spore pigment	1	-1	NA	NA	NA	NA	Polyketide	NA	NA	1	0	0	0	12
BGC0000562	Kocuria	variacin	1	-1	NA	NA	NA	NA	RiPP	NA	NA	1	0	0	0	1
BGC0000011	Aspergillus	sterigmatocystin	1	324.063388104	78.13	3.0064	6	1	Polyketide	NA	[H][C@]12OC=C[C@@]1([H])C1=C(O2)C=C(OC)C2=C1OC1=C(C(O)=CC=C1)C2=O	2	0	0	0	26
BGC0000070	Penicillium	griseofulvin	6	352.071365944	71.06	2.8103	6	0	Polyketide	Antifungal,Cytotoxic	COC1=CC(OC)=C(Cl)C2=C1C(=O)C1(O2)[C@H](C)CC(=O)C=C1OC	2	0	1	0	21
BGC0001611	Streptomyces	guangnanmycin	1	-1	NA	NA	NA	NA	NRP	NA	NA	1	0	0	0	28
BGC0000485	Lactobacillus	acidocin B	1	-1	NA	NA	NA	NA	RiPP	NA	NA	1	0	0	0	3
BGC0000794	Geobacillus	S-layer glycan	1	-1	NA	NA	NA	NA	Saccharide	NA	NA	1	0	0	0	15
BGC0001089	Bacillus	bacillaene	1	582.36688732	135.96	5.4551	5	5	Polyketide	Antibacterial	CC(C)CC(C(=O)NCCC/C=C\C=C\C(=C\C=C/C=C(/C)\C(CC(=O)N/C(=C\C=C\C=C\C(C)C(=O)O)/C)O)\C)O	1	1	0	0	14
BGC0000653	Streptomyces	pentalenolactone	1	276.099773612	76.13	1.1516	4	1	Terpene	NA	[H][C@@]12COC(=O)[C@]3(CO3)[C@@]11C=C(C)[C@@H](C)[C@@]1([H])C=C2C(O)=O	1	0	0	0	17
BGC0001051	Sorangium	thuggacin A	1	631.354274036	140.34	5.7715	9	5	NRP	Antibacterial	CCCCCC\C1=C/C2=CSC(=N2)C(C)C(O)CC(O)\C=C\C=C/CC(OC1=O)C(O)C(O)C(C)C(O)C(\C)=C\C(\C)=C\C	0	1	0	0	19
BGC0000508	Staphylococcus	epidermin	1	2163.95149977	743.69	-6.0239	30	25	RiPP	NA	CCC(C)C1C(=O)NC(CSCC(C(=O)NC(C(=O)NC(C(=O)N1)CC2=CC=CC=C2)CCCCN)NC(=O)C(C)NC(=O)C(C(C)CC)N)C(=O)NC3C(SCC(NC(=O)CNC(=O)C4CCCN4C3=O)C(=O)NC(C)C(=O)NC(CCCCN)C(=O)N/C(=C\C)/C(=O)NCC(=O)NC5CSCC6C(=O)N/C=C\SCC(C(=O)NC(C(=O)N6)CC7=CC=C(C=C7)O)NC(=O)C(NC(=O)C(NC5=O)CC8=CC=CC=C8)CC(=O)N)C	1	0	0	0	8
BGC0000433	Bacillus	surfactin	1	1021.66748597	304.6	4.7963	11	9	NRP	Surfactant	[H][C@@]1(CCC(O)=O)NC(=O)CC(CCCCCCCCCCC)OC(=O)[C@]([H])(CC(C)C)NC(=O)[C@@]([H])(CC(C)C)NC(=O)[C@]([H])(CC(O)=O)NC(=O)[C@@]([H])(NC(=O)[C@@]([H])(CC(C)C)NC(=O)[C@]([H])(CC(C)C)NC1=O)C(C)C	1	0	0	0	23
BGC0000720	Streptoalloteichus	tobramycin	1	467.259127764	268.17	-6.2958	14	10	Saccharide	NA	C1[C@@H]([C@H]([C@@H]([C@H]([C@@H]1N)O[C@@H]2[C@@H]([C@H]([C@@H]([C@H](O2)CO)O)N)O)O)O[C@@H]3[C@@H](C[C@@H]([C@H](O3)CN)O)N)N	1	0	0	0	10
BGC0000124	Streptomyces	piericidin A1	1	415.272258664	71.81	5.45742	5	2	Polyketide	NA	COC1=C(OC)C(O)=C(C)C(C\C=C(/C)C\C=C\C(\C)=C\[C@@H](C)[C@@H](O)C(\C)=C\C)=N1	1	0	0	0	12
BGC0001529	Streptomyces	bezastatin derivates	1	-1	NA	NA	NA	NA	Alkaloid	NA	NA	1	0	0	0	10
BGC0000203	Amycolatopsis	BE-7585A	1	842.230314872	340.12	-4.2203	21	12	Polyketide	NA	C[C@H]1[C@H](CC[C@@H](O1)OC23C(=O)C(C(CC2(C(=CC4=C3C(=O)C5=C(C4=O)C(=CC=C5)O)S[C@@H]6[C@H]([C@@H]([C@H](O[C@@H]6O[C@@H]7[C@@H]([C@H]([C@@H]([C@H](O7)CO)O)O)O)CO)O)O)O)(C)O)O)O	1	0	0	0	42
BGC0000132	Streptomyces	pyrrolomycin	1	179.949332664	58.93	2.2297	2	1	Polyketide	NA	C1=C(C(=C(N1)Cl)Cl)[N+](=O)[O-]	1	0	0	0	11
BGC0001699	Aspergillus	nidulanin A	1	-1	NA	NA	NA	NA	Polyketide	NA	NA	2	0	0	0	4
BGC0000340	Streptomyces	echoside A	5	468.142032348	145.91	1.7912	9	5	NRP	NA	COC(=O)[C@H]1O[C@@H](OC2=C(C=C(O)C(=C2O)C2=CC=CC=C2)C2=CC=CC=C2)[C@H](O)[C@@H](O)[C@@H]1O	1	0	0	0	17
BGC0001922	Streptomyces	isoindolinomycin	1	-1	NA	NA	NA	NA	Polyketide	NA	NA	1	0	0	0	39
BGC0001161	Moorea	1-heptadecene	1	238.266051088	0.0	6.6537	0	0	Polyketide	NA	CCCCCCCCCCCCCCCC=C	0	0	0	0	2
BGC0000493	Leuconostoc	leucocyclicin Q	1	-1	NA	NA	NA	NA	RiPP	NA	NA	1	0	0	0	1
BGC0000033	Micromonospora	calicheamicin	1	1367.27423839	308.44	3.19682	27	8	Polyketide	NA	CCN[C@H]1CO[C@H](C[C@@H]1OC)O[C@@H]2[C@H]([C@@H]([C@H](OC2O[C@H]3C#C/C=C\C#C[C@]\4(CC(=O)C(=C3/C4=C\CSSSC)NC(=O)OC)O)C)NO[C@H]5C[C@@H]([C@@H]([C@H](O5)C)SC(=O)C6=C(C(=C(C(=C6OC)OC)O[C@H]7[C@@H]([C@@H]([C@H]([C@@H](O7)C)O)OC)O)I)C)O)O	1	0	0	0	74
BGC0000607	Macrococcus	micrococcin P1	1	1143.21004615	325.52	5.568	22	9	RiPP	NA	C/C=C/1\C2=NC(=CS2)C(=O)NC(C3=NC(=CS3)C(=O)NC(C4=NC(=CS4)C5=C(C=CC(=N5)C6=NC(=CS6)C7=NC(=CS7)C(=O)N/C(=C/C)/C(=O)NCC(C)O)C8=NC(=CS8)C(=O)NC(C(=O)N1)C(C)O)C(C)O)C(C)C	1	0	0	0	24
BGC0000650	Algoriphagus	carotenoid	1	771.346605376	214.14	2.941	15	6	Terpene	NA	CC[C@]1(CCC2=C(C3=C(C(=C2[C@H]1O[C@H]4C[C@@H]([C@@H]([C@@H](O4)C)O[C@H]5C[C@@H]([C@@H]([C@@H](O5)C)O[C@H]6CC[C@@H]([C@@H](O6)C)O)O)N(C)C)O)C(=O)C7=C(C3=O)C(=CC=C7)O)O)O	0	0	0	0	7
BGC0000862	Shewanella	eicosapentaenoic acid	1	302.2245802	37.3	5.9927	1	1	Other	NA	CC/C=C\C/C=C\C/C=C\C/C=C\C/C=C\CCCC(=O)O	0	0	0	0	9
BGC0001447	Saccharomonospora	primycin	1	1077.72874884	369.65	2.45717	18	16	Polyketide	NA	CCCCC1C(O)C(C)CCC(O)CCCC(O)CCCC(O)C(C)=CC(O[C@H]2O[C@H](CO)[C@@H](O)[C@@H]2O)C(O)CC(O)CC(O)CC(O)CC(O)CCCCC(C)=CC(C)C(OC1=O)C(C)C(O)CCCNC(N)=N	1	0	0	0	37
BGC0000313	Beauveria	beauvericin	1	783.409480404	139.83	4.9125	9	0	NRP	NA	CC(C)C1OC(=O)C(CC2=CC=CC=C2)N(C)C(=O)C(OC(=O)C(CC2=CC=CC=C2)N(C)C(=O)C(OC(=O)C(CC2=CC=CC=C2)N(C)C1=O)C(C)C)C(C)C	2	0	0	0	10
BGC0000180	Legionella	legioliulin	1	290.094294308	50.44	4.2252	3	1	Polyketide	fluorescence	OC1=C2C(=O)OC(\C=C\C=C\C3=CC=CC=C3)=CC2=CC=C1	0	0	0	0	8
BGC0000649	Streptomyces	carotenoid	1	738.6737406	99.38	11.5564	6	4	Terpene	NA	C[C@H](CCCCC(C)CCC[C@@H](C)CCCC(C)CCC=C(C)C)CCC[C@H](C)CCC[C@H](C)CCCC(C)(C)O[C@@H]1[C@@H]([C@H]([C@@H]([C@H](O1)CO)O)O)O	1	0	0	0	8
BGC0000060	Streptomyces	fostriecin	1	430.139269074	153.75	1.0551	7	5	Polyketide	NA	C[C@@](/C=C/[C@@H]1CC=CC(=O)O1)([C@@H](C[C@H](/C=C\C=C/C=C/CO)O)OP(=O)(O)O)O	1	0	0	0	21
BGC0000228	Streptomyces	granaticin	1	444.10564684	159.82	0.5042	10	4	Polyketide	NA	C[C@@H]1[C@@]2([C@@H](C[C@H](O1)C3=C2C(=O)C4=C(C3=O)C(=C5[C@H]6[C@H](CC(=O)O6)OC(C5=C4O)C)O)O)O	1	0	0	0	6
BGC0001521	Herpetosiphon	auriculamide	1	341.139385928	86.63	2.459	4	3	NRP	NA	CC[C@H](C)[C@H](O)C(=O)N[C@@H](CC1=CC(Cl)=C(O)C=C1)C(=O)CC	1	0	0	0	21
BGC0000431	Streptomyces	stenothricin	1	-1	NA	NA	NA	NA	NRP	Antibacterial	NA	1	1	0	0	22
BGC0000747	Streptococcus	capsular polysaccharide	1	1322.4494708	660.55	-16.7828	38	25	Saccharide	NA	CC(=O)N[C@@H]1[C@H](C[C@@](O[C@H]1[C@@H]([C@@H](CO)O)O)(C(=O)O)O[C@H]2[C@H]([C@H](O[C@H]([C@@H]2O)O[C@@H]3[C@H](O[C@@H]([C@@H]([C@H]3O)NC(=O)C)OC[C@@H]4[C@H]([C@@H]([C@H]([C@H](O4)O[C@H]5[C@H](O[C@H]([C@@H]([C@H]5O[C@H]6[C@@H]([C@H]([C@@H]([C@H](O6)CO)O)O)O)O)O[C@@H]7[C@H](O[C@H]([C@@H]([C@H]7O)O)O)CO)CO)O)O)O)CO)CO)O)O	1	0	0	0	7
BGC0000934	Kitasatospora	5-acetyl-5,10-dihydrophenazine-1-carboxylic acid	5	268.084792244	69.64	3.1264	3	2	Other	Antibacterial	CC(=O)N1C2=CC=CC=C2NC2=C1C=CC=C2C(O)=O	1	1	0	0	23
BGC0001157	Streptomyces	bottromycin A2	1	822.446217324	200.29	3.4771	11	5	RiPP	Antibacterial	CC1CCN2C1C(=O)NC(C(=O)NC(C(=NCC2=O)NC(C(=O)NC(C(C)C3=CC=CC=C3)C(=O)NC(CC(=O)OC)C4=NC=CS4)C(C)(C)C)C(C)(C)C)C(C)C	1	1	0	0	13
BGC0000529	Microbispora	microbisporicin A2	1	2230.77069086	777.08	-9.5433	32	26	RiPP	Antibacterial	O=C(N[C@H](C(NC(C(N[C@H](C(N[C@H](C(N[C@H]([C@H](C)SC[C@@H](C(N[C@H]([C@H](O)C)C(N[C@@H](C(N1[C@H]2[C@@H](O)CC1)=O)CSC[C@H](NC([C@H](CC(N)=O)NC([C@H](NC(CNC(CNC(CNC2=O)=O)=O)=O)CSC[C@@H](C(N/C=C\SC3)=O)NC4=O)=O)=O)C(N[C@@H]3C(N[C@@H]4CC5=CC=CC=C5)=O)=O)=O)=O)NC6=O)C(N7[C@H](C(NC6)=O)CCC7)=O)=O)CSC8)=O)CC(C)C)=O)=C)=O)CC9=CNC%10=C9C=C(Cl)C=C%10)[C@@H]8NC(/C(NC([C@H](C(C)C)N)=O)=C/C)=O	1	1	0	0	20
BGC0001525	Synechocystis	bartoloside 2	3	834.481553992	169.3	8.2842	10	7	Other	NA	CCCCCCCCCC(Cl)CCCCCc2cc(OC1O[C@H](C)[C@@H](O)[C@H](O)[C@@H]1O)c(CCCCCC(Cl)CCCCCC)c(O)c2C3OC[C@H](O)[C@@H](O)[C@@H]3O	0	0	0	0	11
BGC0000765	Lactobacillus	exopolysaccharide	1	-1	NA	NA	NA	NA	Saccharide	NA	NA	1	0	0	0	15
BGC0000234	Streptomyces	jadomycin	1	419.136887392	104.14	3.48222	7	2	Polyketide	NA	[H][C@@]12OC(=O)[C@]([H])(C(C)CC)N1C1=C(C(=O)C3=CC=CC(O)=C3C1=O)C1=C(O)C=C(C)C=C21	1	0	0	0	7
BGC0000219	Streptomyces	elloramycin	1	660.205420452	202.81	0.98332	15	3	Polyketide	Cytotoxic	C[C@H]1[C@H]([C@@H]([C@H](O[C@@H]1OC2=CC3=CC4=C(C(=C3C(=C2C(=O)OC)C)O)C(=O)[C@@]5(C(=O)C=C([C@H]([C@@]5(C4=O)O)O)OC)OC)OC)OC)OC	1	0	0	0	25
